Latitude,Longitude,Bedrooms,Bathrooms,Square Feet,Year Built
33.51112955,-112.2653222,3,2,1278,1980
25.74442507,-80.41575651,3,2,1848,1994
33.68962108,-111.994902,3,2,2049,2020
33.39389336,-111.9306952,3,2,1262,1959
33.20162799,-111.5512642,4,3,1668,2006
33.05536836,-96.86898914,3,2,1925,2000
33.44801923,-112.1324132,3,2,1207,2021
33.72429441,-84.26239831,4,2,2143,1962
33.42261593,-111.6327736,3,2,1528,2002
30.01909984,-95.59876113,2,2,1133,2005
33.0641905,-112.0504884,4,2.5,1998,2005
33.84882955,-83.70935927,3,2,1223,1995
33.45434498,-112.1620536,3,1.75,1275,1971
29.25302964,-81.02123596,2,2,817,1958
33.44169944,-112.4737698,4,3,2209,2020
29.56212336,-95.7226287,3,2,1719,2019
33.33670294,-111.6055649,4,3,2193,2018
29.6064543,-95.36111757,3,2,2097,1997
33.46082672,-112.2623938,3,2.5,1734,1998
34.02108143,-83.90594596,5,4,3540,2005
33.63665752,-112.3986544,5,2.5,2881,2005
33.20472146,-96.97937104,4,4,2848,2022
33.36098358,-112.1547941,3,2,1402,2005
33.3189269,-96.72575003,1,1,714,2023
33.36484966,-111.751328,3,2,1105,1983
33.14275598,-96.66619969,4,4,3023,2013
29.83664852,-95.44139627,4,2.1,2328,2022
32.75129109,-97.80333359,3,3,2918,2015
33.49017243,-112.7163917,3,2,1813,2021
33.25937716,-96.72979568,4,4,3772,2011
26.65746839,-82.03881009,4,3,1664,2023
25.50301035,-80.4697515,5,3,2536,2013
26.63153923,-81.71383002,4,2,1537,2008
33.15871669,-96.90560195,4,2,2126,2016
26.62680071,-81.97422509,3,2,1812,2003
33.71271876,-84.28517299,4,2,2883,1962
25.46771135,-80.42912404,3,2,1531,2007
29.90742037,-95.69026798,3,2,1419,2003
26.03517988,-80.27691255,1,1,247,1973
30.18504593,-95.75773828,3,2,2063,2013
25.87220589,-80.14635136,3,2,1630,1946
25.55457655,-80.33176049,3,2,1557,1956
26.15949859,-80.24296056,3,2,1142,1960
